id,listing_id,reviewer_name,date,comment_text,rating,cleanliness,communication,location,sentiment_score
4628610,1026451,Christopher,2013-05-16,"Bee's place is great. Very comfortable, clean and located. The building is nice and modern, there is a pool and a workout room. 
<br/>
<br/>It's located within a 1 minute scooter ride to Saphan Taksin BTS station making it easy to get to other areas of the city. 
<br/>
<br/>All in all, Bee's place is an excellent to set up as a home base while you explore the city. To top it all off, Bee herself and her parents are awesome! They really showed me they cared about my staying there and were very helpful in every regard. 
<br/>
<br/>I can't recommend this place enough. Awesome!",4.3,4.9,4.7,4.0,0.86
7224536,1026451,Michael,2013-09-11,"I have stayed in many hotels all around the world ranging from the French-brand, Accor, to Starwood and Hilton Hotels Worldwide.  This being said, my very first experience using airbnb.com and choosing this lovely, modern, spacious, clean, well-appointed, centrally-located, comfortable, spacious, spacious, spacious, and spacious apartment hosted by Bee really made my very first time in Thailand TRULY ENJOYABLE and of THE BEST VALUE!!!!!  I arrived in Bangkok Suvarnabhumi Airport just after midnight and arrived at Bee's Apartment around 2 a.m. and was met by her friendly and welcoming father without any issues!  He is very friendly and he took the time to show us the amenities such as FREE WI-FI, FULL KITCHEN (with several bottles of water!), lots of clean towels, toilet paper, extra pillows!  The shower pressure was very nice and the shower is separate from the toilet so everything stays nice and dry in the bathroom!  She even provides complimentary train maps, city maps, and tourist information.  There is also a swimming pool and a gym and laundry facilities, too!  The building is very secure!  There is a security guard 24 hours/day, also very good air-conditioning.  Also, there is lots of room for two adults and also an additional sofa-bed for additional guests!  There is also a vanity area for ladies to apply their make-up and plenty of books for reading and lots of seating, too!  Bangkok is warm in September so the air-conditioning can go as cold as 16*C!!!   Everything here is so perfect!  Neighborhood is very safe and restaurants and shops are very inexpensive because you are not in the tourist area.  The BTS Sky train stop is Saphan Taksin, so you are only minutes away from Siam Paragon Shopping Complex, Patpong Night Market, Chao Phraya River Taxi is only 5 minutes away by tuk-tuk/metered-taxi/local bus - very convenient!  There is a local massage shop only 5 minutes away by foot and you can get a 1-hour massage for only 120 Thai Baht, or 4 American Dollars!  Can life be any better???  Also, Bee's father brought Thai Milk Tea and Thai Sugar Doghnuts and showed us around the neighborhood one morning!  I also met his wife and I immediately felt part of the family!  Bee and her father and mother are so warm and welcoming and I will definitely come back to Thailand and book again with Bee!!!   I am writing this review from a hotel in Kata Beach near Phuket and I wish Bee had another apartment here because her apartment is so much better than my hotel in Phuket!  I will miss her wonderful apartment, but I PROMISE YOU, I will be back!!!!!  If you have any questions, I am happy to answer them!  I really really really had THE BEST EXPERIENCE!!!!
<br/>
<br/>And also, if you are an English-speaker, there are no worries!  Communication with Bee and her family are very easy, clear, quick to respond, and very helpful!!!  
<br/>
<br/>This experience is truly Thai Hospitality at best!",3.1,3.2,4.6,3.8,0.62
7673953,1026451,Sacha,2013-09-29,"This was our first time using airbnb and we couldn't have picked a better apartment or host!  
<br/>We arrived at the condo, met by bee's father who is a very friendly man and nothing was too much trouble, he gave my husband a lift to the shops and was always happy to help out. Bee phoned and emailed during our stay to make sure everything was ok and was always on hand if we needed anything.  
<br/>
<br/>The apartment is so lovely, it really felt like home.  It is very comfortable and well looked after.  Well stocked with kitchen utensils, bedding and towels plus very good A/C. 
<br/>There is free wifi and free use of the fitness center and swimming pool on the 5th floor.  There is a shop and laundry service on the ground floor of the building and is generally in a good location.  Not far from Silom Rd where there are some great places to go out of an evening. Street venders are plentiful and there is a good coffee shop a few mins walk away called Zucre, fantastic cakes! 
<br/>Very close to the river and a short songthaw ride to the central plaza shopping mall, also a 20 min walk to the asiatique boutique night market.
<br/>Taxis are easy to come by from right outside the apartment. (our taxi back to suvanabhumi airport cost 250 baht + 100 baht highway tolls, takes just under an hour) 
<br/>The building is secure and we felt very safe there.
<br/>  
<br/>There is a great view over Bangkok from the roof too! ;-)
<br/>
<br/>We really enjoyed our experience and we will definitely stay again with Bee, much better than staying in a hotel!  Can't recommend this apartment enough - we loved it!  ",3.6,4.5,4.4,3.0,0.72
7782795,1026451,Dominic & Tilja,2013-10-02,"Bee was the best host we ever had. The communication was absolutely perfect. She was telling us everything what we have to know about our first travel to Asia. Almost every day we stayed in contact with Bee and she told us what we should do in Bangkok. Even after our stay in Bangkok, Bee gave us very nice infos about Thailand. She was absolutely fantastic and a great help for us. Her father came to the condo to show us everything. He's very friendly and can explain you all things. The condo was very clean and perfect for a stay in Bangkok. There is also a nice pool for a swim. The condo is maybe 500 meters from the BTS station. From there you can go everywhere within a couple minutes.",3.4,3.7,4.0,4.1,0.68
7849388,1026451,Sherry,2013-10-06,"When I booked this studio , Bee make me feel she is a friendly  lady , she try to help anything about Thailand .
<br/>And about Bee' family , them also warm and welcoming too, make my sister and I feel we are family . we are very happy met Bee and her family
<br/>About this studio , its lovely , safe , comfortable  and really felt like home .there have a swimming pool and a workout room Convenient to everything, near the BTS and express boat  , and the important thing it security place 
<br/>
<br/>This is my first choose in Bangkok and we will definitely stay again !!!
<br/>
<br/>We loved it ",4.5,4.2,5.0,4.6,0.9
8027055,1026451,Jessica,2013-10-13,"Bee es una excelente anfitriona, siempre muy preocupada de que todo este en orden y mas que eso es una persona cálida y muy dulce. El lugar es exactamente como se muestra en las fotos, muy seguro y muy bien ubicado con muchas cosas interesantes para hacer y visitar muy cerca.
<br/>Los padres de Bee son un apoyo muy grande para cualquier persona que viaja, tienen siempre la mejor voluntad de hacer la estancia de uno placentera y segura. totalmente recomendado!!!
<br/>",4.4,3.9,3.8,3.7,0.88
8181113,1026451,Julie,2013-10-19,"My stay at Bee's condo was just perfect !
<br/>Just after I booked, Bee sent me an email with a lot of explanations about how to get there, and responded very quickly if I had any questions. 
<br/>
<br/>The condo is nicely located, near the river if you want to take the boat taxi, and next to the metro which is very useful if you want to avoid the traffic to go to Siam :)
<br/>It's clean and nice, and the swiming pool can be very useful in Bangkok !
<br/>
<br/>Bee's father welcomed me the night of my arrival, and he even brought me some breakfast the next morning. It was really nice to meet him !
<br/>
<br/>I definitely recommand Bee's condo :)
<br/>",4.8,4.9,3.8,4.6,0.96
8295542,1026451,Ken,2013-10-24,Pleasant stay in the room with extra sofa bed just nice for my daughter who is traveling together. Available facilities for cooking & washing if needed. Host's father is helpful with information.,3.2,4.9,4.9,3.7,0.64
8366908,1026451,Hyejin,2013-10-28,"We stayed at Bee's apartment 2 separate times - 2days when we first got to Thailand and last 2 days before we were leaving Thailand.  What a wonderful start and a great end to our 2 week Thailand trip.  Bee has made the process so easy and nice with sending me emails of suggestions of where to go in Bangkok, sending me names of dishes written in Thai and English to show to restaurants since I have diet restrictions.  Upon arrival, Bee's father met us at the lobby of the apartment building and showed us to the apartment which is fabulous!  You have all you need at the unit including wifi, many TV channels (in English, Hindi and Korean for us!), coffee, water, even a spare phone for use.  Bee's father brought us soy milk and Thai donuts the next morning and told us about Hindu goddess street festival nearby that was happening that night, and oh my goodness, we had an incredible time.  My boyfriend is Indian so he really appreciated that.  Bee's father went out of his way to make us feel comfortable, leaving fruit in the unit for us to enjoy during our stay.  The apartment is a 10 minute walk from the central pier and the skytrain station which is super convenient.  We took motorcycle taxis to/from the stations which cost less than a dollar.  There are food stalls on the street of the apartment building and restaurants/shops on the main street a block away.  I can't say enough good things about my experience!  Would definitely stay there again on my next trip to Bangkok.  Bee, thanks to you and your father for your hospitality!",3.8,3.4,4.2,4.3,0.76
8485864,1026451,David,2013-11-02,"Bee was fantastic.  She coordinated our stay from afar but I don't think I have felt as looked out for as we did with Bee.  While we did not get to meet Bee in person, her father was her point person at the condo and he was fantastic.  Super helpful!  Greeted us on arrival in the lobby with the keys and gave us all of the information we needed for our stay.  When our stay was over he met us at the condo and even helped us get a taxi, going up to main street to hail the taxi and send it down to us so that we did not need to walk to the corner with our luggage.  Great Family, super hosts.
<br/>
<br/>The condo was perfect for our stay and as described.  Highlights include access to pool; short distance to Asiatique night market, BTS, and tourist boats on the river; and option of doing your own wash for 40 baht per load for wash and 30 baht for dry using buildings washer and dryer or what we did and pay 300 baht total to have 2 loads done for us by the laundry in the  strip of stores at the bottom of the condo building.",3.1,4.1,4.8,4.8,0.62
